scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
0,413,1121980.645735,1121980.645735,3255482.693492,1121980.645735,221170.701835,236364191.392431,233329879.400774
0,414,1290798.536609,1290798.536609,4325110.528266,1290798.536609,326222.077324,237654989.92904,233656101.478098
0,415,641162.282633,641162.282633,4640050.733575,641162.282633,414374.807059,238296152.211673,234070476.285157
0,416,441480.324237,441480.324237,4667156.250753,441480.324237,263708.609643,238737632.53591,234334184.8948
0,417,539209.787519,539209.787519,4942657.428629,539209.787519,416097.163595,239276842.323429,234750282.058395
0,418,750980.208847,750980.208847,5277540.473882,750980.208847,491928.688301,240027822.532276,235242210.746696
0,419,766459.065678,766459.065678,5552070.851259,766459.065678,1121980.645735,240794281.597954,236364191.392431
0,420,327580.139718,327580.139718,4757670.345242,327580.139718,1290798.536609,241121861.737672,237654989.92904
0,421,439418.6557,439418.6557,3906290.464333,439418.6557,641162.282633,241561280.393372,238296152.211673
0,422,702161.731474,702161.731474,3967289.913174,702161.731474,441480.324237,242263442.124846,238737632.53591
0,423,572516.556229,572516.556229,4098326.145166,572516.556229,539209.787519,242835958.681075,239276842.323429
0,424,671193.070078,671193.070078,4230309.427725,671193.070078,750980.208847,243507151.751153,240027822.532276
0,425,820917.623136,820917.623136,4300246.842013,820917.623136,766459.065678,244328069.374289,240794281.597954
0,426,1002619.06717,1002619.06717,4536406.843505,1002619.06717,327580.139718,245330688.441459,241121861.737672
0,427,865399.358305,865399.358305,5074226.062092,865399.358305,439418.6557,246196087.799764,241561280.393372
0,428,932055.853106,932055.853106,5566863.259497,932055.853106,702161.731474,247128143.65287,242263442.124846
0,429,507600.707887,507600.707887,5372302.23591,507600.707887,572516.556229,247635744.360757,242835958.681075
0,430,458522.676721,458522.676721,5258308.356403,458522.676721,671193.070078,248094267.037478,243507151.751153
0,431,309869.031964,309869.031964,4896984.318289,309869.031964,820917.623136,248404136.069442,244328069.374289
0,432,379667.688792,379667.688792,4455734.383945,379667.688792,1002619.06717,248783803.758234,245330688.441459
0,433,502088.615395,502088.615395,3955203.93217,502088.615395,865399.358305,249285892.373629,246196087.799764
0,434,323461.714307,323461.714307,3413266.288172,323461.714307,932055.853106,249609354.087936,247128143.65287
0,435,481964.386615,481964.386615,2963174.821681,481964.386615,507600.707887,250091318.474551,247635744.360757
0,436,481165.571081,481165.571081,2936739.684874,481165.571081,458522.676721,250572484.045632,248094267.037478
0,437,1352148.574868,1352148.574868,3830365.583021,1352148.574868,309869.031964,251924632.6205,248404136.069442
0,438,1400727.024771,1400727.024771,4921223.575829,1400727.024771,379667.688792,253325359.645271,248783803.758234
0,439,628254.591114,628254.591114,5169810.478151,628254.591114,502088.615395,253953614.236385,249285892.373629
0,440,442492.674182,442492.674182,5110214.536938,442492.674182,323461.714307,254396106.910567,249609354.087936
0,441,585024.596379,585024.596379,5371777.419009,585024.596379,481964.386615,254981131.506946,250091318.474551
0,442,460021.39177,460021.39177,5349834.424165,460021.39177,481165.571081,255441152.898716,250572484.045632
0,443,679999.353282,679999.353282,5548668.206367,679999.353282,1352148.574868,256121152.251998,251924632.6205
0,444,470237.810792,470237.810792,4666757.442291,470237.810792,1400727.024771,256591390.06279,253325359.645271
0,445,496996.244805,496996.244805,3763026.662324,496996.244805,628254.591114,257088386.307595,253953614.236385
0,446,566637.966893,566637.966893,3701410.038103,566637.966893,442492.674182,257655024.274488,254396106.910567
0,447,719349.347805,719349.347805,3978266.711725,719349.347805,585024.596379,258374373.622293,254981131.506946
0,448,520801.098023,520801.098023,3914043.213369,520801.098023,460021.39177,258895174.720316,255441152.898716
0,449,650908.35802,650908.35802,4104930.179618,650908.35802,679999.353282,259546083.078336,256121152.251998
0,450,294116.987849,294116.987849,3719047.814185,294116.987849,470237.810792,259840200.066185,256591390.06279
0,451,350794.324312,350794.324312,3599604.327706,350794.324312,496996.244805,260190994.390497,257088386.307595
0,452,340039.223593,340039.223593,3442647.306494,340039.223593,566637.966893,260531033.61409,257655024.274488
0,453,521676.045793,521676.045793,3397685.385394,521676.045793,719349.347805,261052709.659883,258374373.622293
