scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
4,175,1074844.454431,1074844.454431,6073274.032919,1074844.454431,579826.99191,88368322.58185,82874875.540841
4,176,1130586.810238,1130586.810238,6624033.851247,1130586.810238,354988.527344,89498909.392088,83229864.068185
4,177,765908.694433,765908.694433,7034954.018336,765908.694433,535986.106798,90264818.086521,83765850.174983
4,178,296075.030655,296075.030655,6795042.942193,296075.030655,559438.309877,90560893.117176,84325288.48486
4,179,565706.968651,565706.968651,6801311.600968,565706.968651,1640600.41744,91126600.085827,85965888.9023
4,180,1556268.452031,1556268.452031,6716979.635559,1556268.452031,1327589.225119,92682868.537858,87293478.127419
4,181,1639576.320757,1639576.320757,7028966.731197,1639576.320757,1074844.454431,94322444.858615,88368322.58185
4,182,1637023.574382,1637023.574382,7591145.851148,1637023.574382,1130586.810238,95959468.432997,89498909.392088
4,183,529483.481066,529483.481066,6990042.521976,529483.481066,765908.694433,96488951.914063,90264818.086521
4,184,298583.819226,298583.819226,6522717.646768,298583.819226,296075.030655,96787535.733289,90560893.117176
4,185,232634.106046,232634.106046,6459276.722159,232634.106046,565706.968651,97020169.839335,91126600.085827
4,186,156371.045681,156371.045681,6049940.799189,156371.045681,1556268.452031,97176540.885016,92682868.537858
4,187,174908.191034,174908.191034,4668580.538193,174908.191034,1639576.320757,97351449.07605,94322444.858615
4,188,193548.578278,193548.578278,3222552.795714,193548.578278,1637023.574382,97544997.654328,95959468.432997
4,189,190909.422412,190909.422412,1776438.643744,190909.422412,529483.481066,97735907.07674,96488951.914063
4,190,253560.912967,253560.912967,1500516.075645,253560.912967,298583.819226,97989467.989707,96787535.733289
4,191,225642.989653,225642.989653,1427575.246072,225642.989653,232634.106046,98215110.97936,97020169.839335
4,192,295255.070204,295255.070204,1490196.21023,295255.070204,156371.045681,98510366.049564,97176540.885016
4,193,375039.800348,375039.800348,1708864.964897,375039.800348,174908.191034,98885405.849912,97351449.07605
4,194,238675.765577,238675.765577,1772632.539439,238675.765577,193548.578278,99124081.615489,97544997.654328
4,195,376598.660203,376598.660203,1955682.621364,376598.660203,190909.422412,99500680.275692,97735907.07674
4,196,445231.789924,445231.789924,2210004.988876,445231.789924,253560.912967,99945912.065616,97989467.989707
4,197,1015475.338276,1015475.338276,2971919.414185,1015475.338276,225642.989653,100961387.403892,98215110.97936
4,198,1168267.996059,1168267.996059,3914544.420591,1168267.996059,295255.070204,102129655.399951,98510366.049564
4,199,580299.213111,580299.213111,4199588.563499,580299.213111,375039.800348,102709954.613062,98885405.849912
4,200,399572.295031,399572.295031,4224121.058181,399572.295031,238675.765577,103109526.908093,99124081.615489
4,201,488024.676241,488024.676241,4473469.968845,488024.676241,376598.660203,103597551.584334,99500680.275692
4,202,679692.54596,679692.54596,4776563.854603,679692.54596,445231.789924,104277244.130294,99945912.065616
4,203,693702.054446,693702.054446,5025034.119125,693702.054446,1015475.338276,104970946.18474,100961387.403892
4,204,296484.216958,296484.216958,4306042.997806,296484.216958,1168267.996059,105267430.401698,102129655.399951
4,205,397706.332759,397706.332759,3535481.334507,397706.332759,580299.213111,105665136.734457,102709954.613062
4,206,635508.218884,635508.218884,3590690.340279,635508.218884,399572.295031,106300644.953341,103109526.908093
4,207,518169.761498,518169.761498,3709287.806745,518169.761498,488024.676241,106818814.714839,103597551.584334
4,208,607479.293406,607479.293406,3828742.42391,607479.293406,679692.54596,107426294.008245,104277244.130294
4,209,742991.070496,742991.070496,3892040.948446,742991.070496,693702.054446,108169285.078741,104970946.18474
4,210,907444.295289,907444.295289,4105783.189289,907444.295289,296484.216958,109076729.37403,105267430.401698
4,211,783250.325627,783250.325627,4592549.297958,783250.325627,397706.332759,109859979.699657,105665136.734457
4,212,843579.375743,843579.375743,5038422.340941,843579.375743,635508.218884,110703559.0754,106300644.953341
4,213,459416.124966,459416.124966,4862330.247024,459416.124966,518169.761498,111162975.200366,106818814.714839
4,214,414996.882541,414996.882541,4759157.368067,414996.882541,607479.293406,111577972.082907,107426294.008245
4,215,280454.356544,280454.356544,4432132.431206,280454.356544,742991.070496,111858426.439451,108169285.078741
4,216,79702.442061,79702.442061,3768843.802771,79702.442061,907444.295289,111938128.881512,109076729.37403
4,217,0.0,0.0,2861399.507482,0.0,783250.325627,111938128.881512,109859979.699657
4,218,0.0,0.0,2078149.181855,0.0,843579.375743,111938128.881512,110703559.0754
4,219,3051.466151,3051.466151,1237621.272263,3051.466151,459416.124966,111941180.347663,111162975.200366
4,220,2012.941464,2012.941464,780218.08876,2012.941464,414996.882541,111943193.289127,111577972.082907
4,221,47896.991879,47896.991879,413118.198099,47896.991879,280454.356544,111991090.281006,111858426.439451
4,222,25878.302626,25878.302626,158542.144181,25878.302626,79702.442061,112016968.583632,111938128.881512
