directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,configuration,method,window,status,replay_count,nominal_operating_cost_usd,mean_actual_operating_cost_usd,mean_batch_adjustment_mwh,mean_actual_curtailment_mwh,workload_violation_rate,workload_max_violation_mwh,grid_violation_rate,grid_max_violation_mw,ramp_violation_rate,ramp_max_violation_mw,physical_union_violation_rate,physical_union_max_violation_mw,solve_wall_time_seconds
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.90394275705,16191.894836132797,54.00645184116681,0.084266445876121,0.0,0.0,0.01,0.05203477046853755,0.0,0.0,0.01,0.05203477046853755,85.69322990000364
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.731911542603,16413.00252445244,58.87782368512234,0.005766096744095166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80147969999234
grid_0p85_ramp_0p075_seed_20270201_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.570217725468,16947.425952178262,54.32713153019331,0.03816906111367222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.69404309999663
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15840.616162415892,49.95066389266777,0.0655919458263191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8553198000008706
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16186.581393395585,53.32590419694449,0.0644677389355799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8809438000025693
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16432.813011672424,57.83341906863827,0.32342903370617504,0.0,0.0,0.07,0.1286421846946899,0.0,0.0,0.07,0.1286421846946899,2.356165300006978
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.570217725457,16941.147729483902,56.052936275751,0.12787620089725238,0.0,0.0,0.06,0.1901072966500965,0.02,0.9118695468716373,0.08,0.9118695468716373,1.790766000005533
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509488,15842.250971455058,50.016941316153044,0.0810820780578898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25449560000561
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.90394275705,16185.946836889705,53.906734127571724,0.0519402013524922,0.0,0.0,0.01,0.052034770468540215,0.0,0.0,0.01,0.052034770468540215,72.6967602000077
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.731911542603,16408.446725231017,58.65400195495781,0.004439027628072847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24729909999587
grid_0p85_ramp_0p075_seed_20270202_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.570217725468,16939.33653385323,54.385033512282256,0.03730147040857044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17957670000033
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15840.58084218485,49.929860261938344,0.0641910222840863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652274899999611
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16182.258894021554,53.181357855351344,0.052600138331526984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9373362000042107
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16427.78786486854,58.40412536857227,0.3313275474544708,0.0,0.0,0.07,0.04569994004772249,0.01,0.8850299536897366,0.08,0.8850299536897366,1.7527270999999018
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.570217725457,16941.657803356215,55.483189124215,0.12830932331393488,0.0,0.0,0.06,0.16023468172566768,0.01,0.8677453830434614,0.07,0.8677453830434614,1.6550376000086544
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509488,15842.182235700771,49.9826062734063,0.06817156956582014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.45647570000438
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.90394275705,16181.867342065536,53.83876257885935,0.04380241236058211,0.0,0.0,0.01,0.05203477046853755,0.0,0.0,0.01,0.05203477046853755,76.25823279999895
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.731911542603,16407.32417585472,58.628680089159076,0.007878150521360766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9585905999993
grid_0p85_ramp_0p075_seed_20270203_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.570217725468,16937.7689295831,54.22362524489413,0.03200370443454365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.33670710001024
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15846.46950696392,50.23813308019274,0.06080249205495468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7323366000055103
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16170.82374789696,53.24769294886122,0.07685967892293878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987308999989182
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16375.397686968232,58.09547300216691,0.3147466543835836,0.0,0.0,0.05,0.1658496529166713,0.01,0.7986772465179817,0.06,0.7986772465179817,1.7479434999986552
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.475141718787,16910.222617872023,55.95699776271323,0.11352394595308546,0.0,0.0,0.0,0.0,0.02,1.038344280257129,0.02,1.038344280257129,1.9048679999978049
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509486,15846.839546958618,50.13272647460134,0.07856200562136863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.52842059999239
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.903942757028,16169.007768890713,53.805882307065374,0.06960232876248738,0.0,0.0,0.02,0.035014517668540135,0.0,0.0,0.02,0.035014517668540135,73.66552799999772
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.73191154261,16354.247572568907,58.461232689952936,0.009135313874639903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.92234010000539
grid_0p86_ramp_0p075_seed_20270117_det_tv_four_windows,0.86,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.475141718794,16913.330552629446,54.52920086816418,0.03023875913402275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29480760000297
