method,held_out_fold,validation_window_id,rho,beta,support_size,allowed_training_violation_count,feasible,solver_status,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
finite_support_TV_DRO,fold_2,8,0.01,0.1,20,1,True,optimal_decomposed,71.22446089994628,0.0,1,2,13014.263506879308,14318.061716035818,168436.88684099427,1.9202474206805533,35.55990400049041,37.10323382483062,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_2,9,0.01,0.1,20,1,True,optimal_decomposed,74.71815809997497,0.0,1,2,14407.423959862484,16906.080760635312,173433.21878743204,0.9917648792412208,35.918691843265165,31.15953496677992,1.1368683772161603e-13,0.0,1.0547118733938987e-15,False,False,False
finite_support_TV_DRO,fold_2,10,0.01,0.1,20,1,True,optimal_decomposed,70.81802319997223,0.0,1,2,13222.277707798836,14364.029926581017,168294.6485116427,1.6575234036968436,35.849497596779486,30.752645627385306,1.7053025658242404e-13,0.0,5.551115123125783e-16,False,False,False
finite_support_TV_DRO,fold_2,11,0.01,0.1,20,1,True,optimal_decomposed,70.90086110000266,0.0,1,2,12091.769165848775,13741.04476450902,182801.90719059744,0.677273992600192,36.488371799884376,39.2922095479723,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_3,0,0.01,0.1,20,1,True,optimal_decomposed,70.48411389999092,0.0,1,2,12608.317556519283,13975.386969676032,188175.12099135222,1.5604808186423256,36.96590004552813,40.19686500687985,1.1368683772161603e-13,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_3,1,0.01,0.1,20,1,True,optimal_decomposed,69.75192909996258,0.0,1,2,13756.67508184778,15157.115468411048,189568.45967906973,1.2501387314662464,36.37621432128013,36.23838912299898,3.552713678800501e-14,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_3,2,0.01,0.1,20,1,True,optimal_decomposed,69.95605670002988,0.0,1,2,11249.669938575846,11727.25355017329,180913.88077905428,1.161256885873597,35.113948541361594,33.06447451004614,1.5631940186722204e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_3,3,0.01,0.1,20,1,True,optimal_decomposed,70.37461409997195,0.0,1,2,13100.367849808108,14352.453801150075,193547.7426801679,0.8867958824581731,33.88282071299325,30.29854491460934,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
finite_support_TV_DRO,fold_3,4,0.01,0.1,20,1,True,optimal_decomposed,71.72541939996881,0.0,1,2,13906.477728583082,15438.424845948992,197868.94001129532,1.35553084319591,37.13697574918483,37.60367441551116,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_3,5,0.01,0.1,20,1,True,optimal_decomposed,72.88298049999867,0.0,1,2,13433.974658357758,14289.393829417995,182490.6825461831,0.9387577805702363,34.37695582556831,31.81211555581619,1.7053025658242404e-13,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_3,6,0.01,0.1,20,1,True,optimal_decomposed,70.19223859999329,0.0,1,2,11781.748061628949,12763.928509242372,181320.4098797467,0.2799565382536413,35.332188612619596,39.81142109980567,8.526512829121202e-14,0.0,1.1102230246251565e-16,False,False,False
finite_support_TV_DRO,fold_3,7,0.01,0.1,20,1,True,optimal_decomposed,71.27399710001191,0.0,1,2,12623.380876419076,13886.420839780269,189418.6997885368,1.6596798712621141,34.83627381313369,29.883818302464974,5.684341886080802e-14,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_3,8,0.01,0.1,20,1,True,optimal_decomposed,70.11004919995321,0.0,1,2,12103.138243819045,12763.608586477332,187508.67418268256,1.4407442526681358,33.56256289293058,26.23009451056911,1.1368683772161603e-13,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_3,9,0.01,0.1,20,1,True,optimal_decomposed,71.65482419996988,0.0,1,2,14041.059850281605,15184.972672211132,187627.83630725398,1.7043364526086493,35.553502898342046,43.348835550429335,5.684341886080802e-14,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_3,10,0.01,0.1,20,1,True,optimal_decomposed,70.3065250000218,0.0,1,2,12864.20758929238,13721.947428649879,187557.29788584623,1.2478635814245456,37.35934600519111,41.095415550793064,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_3,11,0.01,0.1,20,1,True,optimal_decomposed,70.1732076999615,0.0,1,2,13202.473245744735,14372.68393265745,196662.3336489517,2.066354023188296,36.111278334553155,29.239288714719027,1.9895196601282805e-13,0.0,1.2212453270876722e-15,False,False,False
