method,held_out_fold,validation_window_id,gamma,effective_gamma,gamma_saturated,sample_size,energy_quantile,feasible,solver_status,solver_runtime_seconds,mip_gap,max_robust_constraint_violation_mw,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
static_Gamma_RO,fold_3,1,0.75,0.75,False,20,0.9,True,optimal,23.806999921798706,0.0,2.7755575615628914e-16,13756.67508184776,15191.722410626639,189596.54321220945,1.2722023175404937,152.82252869319854,36.58440132607937,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,2,0.75,0.75,False,20,0.9,True,optimal,14.395999908447266,0.0,2.220446049250313e-16,11249.669938575844,11709.666915037084,180840.56764868659,1.1612568858731032,150.93861063319406,32.87042368481594,2.1316282072803006e-13,0.0,4.440892098500626e-16,False,False,False
static_Gamma_RO,fold_3,3,0.75,0.75,False,20,0.9,True,optimal,17.967999935150146,0.0,3.608224830031759e-16,13100.367849808108,14349.184579567236,193554.3427498475,0.8611178563098265,151.53621165549478,30.182366541216673,1.1368683772161603e-13,0.0,7.771561172376096e-16,False,False,False
static_Gamma_RO,fold_3,4,0.75,0.75,False,20,0.9,True,optimal,18.67300009727478,0.0,2.7755575615628914e-16,13906.477728583084,15368.923581904512,197705.6621717024,1.2020840643067507,151.99306568074508,37.284436666585975,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,5,0.75,0.75,False,20,0.9,True,optimal,22.131999969482422,0.0,2.7755575615628914e-16,13433.974658357749,14303.555996481093,182537.1578654041,0.8239842937590598,150.91509212305303,32.625705501561164,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_3,6,0.75,0.75,False,20,0.9,True,optimal,17.954999923706055,0.0,2.7755575615628914e-16,11781.74806162895,12734.43782885442,181274.16786238234,0.27995653825410205,149.96302422975305,39.4594707395532,1.1368683772161603e-13,0.0,1.1102230246251565e-16,False,False,False
static_Gamma_RO,fold_3,7,0.75,0.75,False,20,0.9,True,optimal,16.054999828338623,0.0,3.0531133177191805e-16,12623.380876419076,13882.857712523795,189427.38754047218,1.6583560145159375,149.94478761326624,29.708772145399436,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,8,0.75,0.75,False,20,0.9,True,optimal,15.744999885559082,0.0,2.220446049250313e-16,12103.138243819038,12760.169248167133,187488.2539679146,1.2633173424667765,149.62639108742988,26.606356202251035,1.1368683772161603e-13,0.0,4.440892098500626e-16,False,False,False
static_Gamma_RO,fold_3,9,0.75,0.75,False,20,0.9,True,optimal,19.526999950408936,0.0,2.7755575615628914e-16,14041.059850281628,15187.378640008283,187593.6677876073,1.5907941078194736,153.3209852111538,43.36531464445422,1.1368683772161603e-13,0.0,7.771561172376096e-16,False,False,False
static_Gamma_RO,fold_3,10,0.75,0.75,False,20,0.9,True,optimal,16.259999990463257,0.0,3.3306690738754696e-16,12864.207589292373,13638.134049439295,187330.0340286047,0.9078335134401376,150.17495993080217,40.829237536782166,1.1368683772161603e-13,0.0,8.881784197001252e-16,False,False,False
