method,window,workload_replay_id,solver_status,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
deterministic,2025-01-01,91,optimal,15749.16974500065,16630.939117532933,204167.35211832868,0.34301599189223464,37.417406040622126,1.4210854715202004e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,92,optimal,15749.16974500065,16476.22680496635,203709.37588879696,1.1012459835664372,28.1090619609084,1.9895196601282805e-13,0.0,5.551115123125783e-16,False,False,False
deterministic,2025-01-01,93,optimal,15749.16974500065,16596.366831140615,204367.6909372814,0.43821684710393505,40.78189062529999,1.1368683772161603e-13,0.0,1.9984014443252818e-15,False,False,False
deterministic,2025-01-01,94,optimal,15749.16974500065,16459.707710547314,203179.25328552813,0.8197624214352274,34.22804005643007,2.2737367544323206e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,95,optimal,15749.16974500065,16593.409333131567,203904.91238402922,0.39072739958335784,39.62173747783873,3.410605131648481e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,96,optimal,15749.16974500065,16463.562072572422,203550.30506095936,0.5744063057608735,34.968949431869824,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,97,optimal,15749.16974500065,16523.195604726057,203862.4497783498,1.7796615040190535,38.209980982478264,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,98,optimal,15749.16974500065,16525.95037289267,204249.02026529933,1.5776824666703682,29.823641380458547,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,99,optimal,15749.16974500065,16574.40499032228,204073.1461710525,0.5610845550846346,42.85525626394435,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-04-01,0,optimal,15811.608669641511,16728.76859584618,126139.4625779998,1.1556280163224109,37.30736798370996,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,1,optimal,15811.608669641511,16756.605330193594,125818.79916893813,0.8007746002059632,47.22701116750805,1.1368683772161603e-13,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,2,optimal,15811.608669641511,16431.180912444957,126001.99231492236,1.071041322546304,28.227698974854935,7.105427357601002e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,3,optimal,15811.608669641511,16904.180064333013,126541.59288787635,0.4163515981704322,41.242110799398255,1.4210854715202004e-13,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,4,optimal,15811.608669641511,16501.291382206175,126094.37555579744,0.3753197929802909,35.28442465577728,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,5,optimal,15811.608669641511,16624.9900696597,126265.11056402206,0.8204612310468229,42.015838874191324,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,6,optimal,15811.608669641511,16600.086948828484,126390.92534401432,1.1726254394014246,31.941312015304753,1.4210854715202004e-13,0.0,7.771561172376096e-16,False,False,False
deterministic,2025-04-01,7,optimal,15811.608669641511,16595.782992317312,126372.76895371193,0.9164370877209445,34.4575797673514,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
deterministic,2025-04-01,8,optimal,15811.608669641511,16622.17368454115,126027.9168247377,1.648450125676273,34.401119883822545,2.5579538487363607e-13,0.0,7.771561172376096e-16,False,False,False
deterministic,2025-04-01,9,optimal,15811.608669641511,16653.514334891905,126024.40055044988,0.487667173796727,45.996080384917974,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,10,optimal,15811.608669641511,16534.80943629338,126522.00306094057,0.8674433289305894,33.97390398787754,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,11,optimal,15811.608669641511,16594.039042839777,126266.71213312368,0.9687173987604574,30.283760697053392,1.1368683772161603e-13,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,12,optimal,15811.608669641511,16639.564419481547,126171.88892400629,0.9277813983240379,30.1530890931945,2.8421709430404007e-13,0.0,7.771561172376096e-16,False,False,False
deterministic,2025-04-01,13,optimal,15811.608669641511,16777.25743678805,126510.86846649942,0.9152313690776867,38.99466814869236,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,14,optimal,15811.608669641511,16529.791198306077,126214.39775714616,1.8113536553452967,33.99636272503329,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,15,optimal,15811.608669641511,16579.39828681783,126220.578759348,1.659361469985682,29.76446221815551,1.1368683772161603e-13,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,16,optimal,15811.608669641511,16438.689537919803,126116.02836522197,1.2173954440570727,27.883745431227883,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,17,optimal,15811.608669641511,16701.413557766435,126645.28255150928,0.6886189649407302,43.81928773308834,1.7053025658242404e-13,0.0,1.3322676295501878e-15,False,False,False
deterministic,2025-04-01,18,optimal,15811.608669641511,16593.869946577583,125999.1974249275,0.5539816271438237,40.29325129792239,1.4210854715202004e-13,0.0,8.881784197001252e-16,False,False,False
deterministic,2025-04-01,19,optimal,15811.608669641511,16738.02575282432,126528.18264876411,1.338326478513709,34.92909696633395,8.526512829121202e-14,0.0,1.3322676295501878e-15,False,False,False
deterministic,2025-04-01,20,optimal,15811.608669641511,16531.642435384376,126197.5500505623,0.783923168210276,34.923079250796306,2.8421709430404007e-13,0.0,9.992007221626409e-16,False,False,False
deterministic,2025-04-01,21,optimal,15811.608669641511,16675.119395589623,126330.48946270878,1.2658654825198759,32.72872385371381,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
