delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-09-11,fold_3,16,2024-09-10T23:00:00Z,2024-09-11T22:00:00Z,direct_ridge_90d_v1,16983.0,2798.0,0.7477788119766287,16093.202679792892,8299.790001951871,0.7239922452373504,889.797320207108,-5501.790001951871,0.02378656673927826,True,True
2024-09-11,fold_3,17,2024-09-10T23:00:00Z,2024-09-11T23:00:00Z,direct_ridge_90d_v1,14859.0,3357.0,0.7894840671479019,14197.073763471613,9382.217123934366,0.7423436218622856,661.9262365283867,-6025.217123934366,0.04714044528561623,True,True
2024-09-11,fold_3,18,2024-09-10T23:00:00Z,2024-09-12T00:00:00Z,direct_ridge_90d_v1,9403.0,4097.0,0.8611587513017875,8963.979823515336,10450.882492911098,0.8034437801625954,439.02017648466426,-6353.882492911098,0.057714971139192106,True,True
2024-09-11,fold_3,19,2024-09-10T23:00:00Z,2024-09-12T01:00:00Z,direct_ridge_90d_v1,1369.0,4235.0,0.9884613139830638,1155.681665829511,11323.464619261578,0.8924171010175471,213.31833417048892,-7088.464619261578,0.09604421296551668,True,True
2024-09-11,fold_3,20,2024-09-10T23:00:00Z,2024-09-12T02:00:00Z,direct_ridge_90d_v1,1.0,5940.0,0.9842548620943331,0.0,11488.482361495158,0.9269883106612236,1.0,-5548.482361495158,0.05726655143310955,True,True
2024-09-11,fold_3,21,2024-09-10T23:00:00Z,2024-09-12T03:00:00Z,direct_ridge_90d_v1,1.0,8168.0,0.9289241232231517,0.0,12721.133333506152,0.9270561390462609,1.0,-4553.133333506152,0.0018679841768907135,True,True
2024-09-11,fold_3,22,2024-09-10T23:00:00Z,2024-09-12T04:00:00Z,direct_ridge_90d_v1,1.0,9907.0,0.8775272826010823,0.0,14147.699463632878,0.8929782719405434,1.0,-4240.699463632878,-0.015450989339461096,True,True
2024-09-11,fold_3,23,2024-09-10T23:00:00Z,2024-09-12T05:00:00Z,direct_ridge_90d_v1,1.0,11410.0,0.8258030820185233,0.0,14795.69403723279,0.86011244385101,1.0,-3385.69403723279,-0.034309361832486784,True,True
2024-09-12,fold_3,0,2024-09-11T23:00:00Z,2024-09-12T06:00:00Z,direct_ridge_90d_v1,1.0,11914.0,0.7844441793859335,0.0,13427.839442590612,0.7884076748972227,1.0,-1513.8394425906117,-0.003963495511289272,True,True
2024-09-12,fold_3,1,2024-09-11T23:00:00Z,2024-09-12T07:00:00Z,direct_ridge_90d_v1,1.0,11812.0,0.7608224638340074,0.0,12914.0240837779,0.7801882411346316,1.0,-1102.0240837779002,-0.019365777300624165,True,True
2024-09-12,fold_3,2,2024-09-11T23:00:00Z,2024-09-12T08:00:00Z,direct_ridge_90d_v1,1.0,11324.0,0.7564083731457962,0.0,12132.022638235425,0.7854249386758658,1.0,-808.0226382354249,-0.029016565530069593,True,True
2024-09-12,fold_3,3,2024-09-11T23:00:00Z,2024-09-12T09:00:00Z,direct_ridge_90d_v1,1.0,10493.0,0.7686106458923117,0.0,11236.58602231426,0.7984108141941842,1.0,-743.5860223142608,-0.029800168301872598,True,True
2024-09-12,fold_3,4,2024-09-11T23:00:00Z,2024-09-12T10:00:00Z,direct_ridge_90d_v1,1.0,9332.0,0.7899853786573887,0.0,10467.879304069007,0.8133411149510819,1.0,-1135.879304069007,-0.02335573629369314,True,True
2024-09-12,fold_3,5,2024-09-11T23:00:00Z,2024-09-12T11:00:00Z,direct_ridge_90d_v1,1.0,8334.0,0.826287176128504,0.0,9706.024692376464,0.8365093519881658,1.0,-1372.0246923764644,-0.010222175859661786,True,True
2024-09-12,fold_3,6,2024-09-11T23:00:00Z,2024-09-12T12:00:00Z,direct_ridge_90d_v1,1.0,7524.0,0.8778156344051903,0.0,8970.683205261108,0.8606360533055297,1.0,-1446.683205261108,0.017179581099660557,True,True
2024-09-12,fold_3,7,2024-09-11T23:00:00Z,2024-09-12T13:00:00Z,direct_ridge_90d_v1,333.0,6459.0,0.9184241411973636,539.047795501388,8264.083654945849,0.860323765966944,-206.047795501388,-1805.083654945849,0.058100375230419554,True,True
2024-09-12,fold_3,8,2024-09-11T23:00:00Z,2024-09-12T14:00:00Z,direct_ridge_90d_v1,5290.0,5315.0,0.8256656651085126,8412.028429964903,6665.715135814342,0.7557047249821296,-3122.028429964903,-1350.715135814342,0.06996094012638299,True,True
2024-09-12,fold_3,9,2024-09-11T23:00:00Z,2024-09-12T15:00:00Z,direct_ridge_90d_v1,12341.0,3935.0,0.7051568905081405,15221.269124202068,6063.569566401376,0.6834732154819922,-2880.2691242020683,-2128.5695664013756,0.021683675026148208,True,True
2024-09-12,fold_3,10,2024-09-11T23:00:00Z,2024-09-12T16:00:00Z,direct_ridge_90d_v1,15337.0,4685.0,0.6492396755933539,17260.98299383004,5865.922748077666,0.6745559036324413,-1923.982993830039,-1180.9227480776663,-0.025316228039087396,True,True
2024-09-12,fold_3,11,2024-09-11T23:00:00Z,2024-09-12T17:00:00Z,direct_ridge_90d_v1,16521.0,5248.0,0.632640275785976,18266.552747159578,5340.117910552868,0.6940123483144786,-1745.5527471595778,-92.11791055286812,-0.06137207252850252,True,True
2024-09-12,fold_3,12,2024-09-11T23:00:00Z,2024-09-12T18:00:00Z,direct_ridge_90d_v1,17711.0,5441.0,0.6260433855033708,18519.51877082789,5227.235158132566,0.7097688977795886,-808.51877082789,213.76484186743437,-0.08372551227621783,True,True
2024-09-12,fold_3,13,2024-09-11T23:00:00Z,2024-09-12T19:00:00Z,direct_ridge_90d_v1,18448.0,5265.0,0.6388981050153903,18617.58822044302,5591.633961801153,0.710304343773507,-169.58822044301996,-326.6339618011534,-0.07140623875811669,True,True
2024-09-12,fold_3,14,2024-09-11T23:00:00Z,2024-09-12T20:00:00Z,direct_ridge_90d_v1,18762.0,5360.0,0.6571609128914114,18374.13446104249,6269.033899476395,0.7104696954201439,387.8655389575106,-909.0338994763952,-0.0533087825287325,True,True
2024-09-12,fold_3,15,2024-09-11T23:00:00Z,2024-09-12T21:00:00Z,direct_ridge_90d_v1,18808.0,5660.0,0.6572391825470264,17967.96016429896,6900.683308558046,0.7153525688868068,840.0398357010417,-1240.6833085580456,-0.05811338633978036,True,True
2024-09-12,fold_3,16,2024-09-11T23:00:00Z,2024-09-12T22:00:00Z,direct_ridge_90d_v1,18344.0,6028.0,0.6722535724811682,16883.197407797044,7914.2206329506735,0.7275327705597124,1460.8025922029556,-1886.2206329506735,-0.0552791980785442,True,True
